CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
15635290110999	Kern	Kern High	Frontier High	64	1	7	1	13	3	124	0	1	214	1415
15635290116392	Kern	Kern High	Independence High	96	1	18	0	11	14	53	5	1	199	1415
15635290116400	Kern	Kern High	Mira Monte High	169	0	0	0	1	9	4	1	0	184	1415
15635290125062	Kern	Kern High	Tierra Del Sol Continuation High	0	0	0	0	0	0	0	0	0	0	1415
15635291530021	Kern	Kern High	Central Valley High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
15635291530047	Kern	Kern High	Nueva Continuation High	0	0	0	0	0	0	0	0	0	0	1415
15635291530112	Kern	Kern High	Vista West Continuation High	0	0	0	0	0	0	0	0	0	0	1415
15635291530252	Kern	Kern High	Arvin High	94	0	0	0	0	1	0	0	0	95	1415
15635291530344	Kern	Kern High	Stockdale High	61	2	55	1	9	15	93	10	0	246	1415
15635291530369	Kern	Kern High	Centennial High	57	1	8	0	6	5	108	4	0	189	1415
15635291530385	Kern	Kern High	Ridgeview High	124	2	15	0	5	20	34	1	0	201	1415
15635291530435	Kern	Kern High	Kern Workforce 2000 Academy	0	0	0	0	0	0	0	0	0	0	1415
15635291530476	Kern	Kern High	Liberty High	38	2	11	0	4	4	124	10	1	194	1415
15635291530708	Kern	Kern High	Bakersfield High	62	1	2	0	4	23	57	2	0	151	1415
15635291532290	Kern	Kern High	East Bakersfield High	111	2	1	0	0	3	10	3	0	130	1415
15635291532605	Kern	Kern High	Foothill High	100	1	1	0	0	2	7	0	0	111	1415
15635291533330	Kern	Kern High	Highland High	92	5	8	0	2	3	48	5	0	163	1415
15635291533538	Kern	Kern High	Kern Valley High	3	0	0	1	0	0	10	0	0	14	1415
15635291534775	Kern	Kern High	North High	23	2	1	1	0	2	50	2	0	81	1415
15635291535087	Kern	Kern High	Shafter High	42	0	1	0	1	1	3	1	0	49	1415
15635291535392	Kern	Kern High	South High	71	0	6	1	3	11	5	0	0	97	1415
15635291536325	Kern	Kern High	Vista Continuation High	0	0	0	0	0	0	0	0	0	0	1415
15635291536606	Kern	Kern High	West High	82	0	4	0	2	4	11	0	0	103	1415
15636280127209	Kern	Maricopa Unified	California Virtual Academy High @ Maricopa	0	0	0	0	0	0	0	0	0	0	1415
15636281533843	Kern	Maricopa Unified	Maricopa High	1	0	0	0	0	0	2	0	0	3	1415
15636770114512	Kern	Mojave Unified	California City High	10	0	0	0	1	2	12	2	0	27	1415
15636771534460	Kern	Mojave Unified	Mojave Jr./Sr. High	3	0	0	0	0	0	0	0	0	3	1415
15636851530997	Kern	Muroc Joint Unified	Boron Junior-Senior High	3	0	0	0	0	0	11	0	0	14	1415
15636851531987	Kern	Muroc Joint Unified	Desert Junior-Senior High	8	0	2	0	0	6	19	7	0	42	1415
15637761530039	Kern	Southern Kern Unified	Rare Earth High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
15637761530377	Kern	Southern Kern Unified	Abraham Lincoln Alternative	0	0	0	0	0	0	1	0	0	1	1415
15637761534957	Kern	Southern Kern Unified	Rosamond High	3	0	0	0	1	1	4	0	0	9	1415
15638181530138	Kern	Taft Union High	Buena Vista High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
15638181535905	Kern	Taft Union High	Taft Union High	29	1	2	0	0	1	35	0	0	68	1415
15638261530245	Kern	Tehachapi Unified	Monroe High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
15638261536135	Kern	Tehachapi Unified	Tehachapi High	12	0	1	0	1	4	48	1	0	67	1415
